SPECIES_CODE,SCIENTIFIC_NAME,COMMON_NAME1,COMMON_NAME2,COMMON_NAME3,COMMON_NAME4,RESOURCE_ID
SYGL,Symphonia globulifera L.F.,manil,,,,
TAAS,Taxodium ascendens Brong.,pond cypress,,,,
TABA,Taxus baccata L.,common yew,English yew,,,
TADI,Taxodium distichum (L.) Rich.,baldcypress,,,,
TAMU,Taxodium mucronatum Ten.,Montezuma cypress,,,,
TEAR,Tetraclinis articulata (Vahl) Mast.,Arar tree,African thuya,,,
TEGR,Tectona grandis L. f.,teak,,,,
TEGU,Terminalia guianensis Aubl.,,,,,
THDO,Thujopsis dolabrata (L.f.) Sieb. & Zucc.,hiba arborvitae,,,,
THHO,Thujopsis dolabrata var. hondai Makino,asunaro arborvitae,,,,
THOC,Thuja occidentalis L.,northern white-cedar,American arborvitae,,,
THOR,Thuja orientalis L.,Chinese arborvitae,Oriental arborvitae,,,
THPL,Thuja plicata Donn ex D. Don,western redcedar,giant arborvitae,,,
THSP,Thuja spp. L.,thuja,,,,
THST,Thuja standishii (Gord.) Carr.,kurobe arborvitae,Japanese arborvitae,,,
TIAM,Tilia americana L.,American basswood,,,,
TICO,Tilia cordata Mill.,littleleaf linden,winter linden,small-leaved lime,,
TIPL,Tilia platyphyllos Scop.,broad-leaved linden,summer linden,,,
TISP,Tilia spp. L.,linden,lime tree,,,
TMAP,Taramix aphylla Lanza,dur,,,,
TMCH,Tamarix chinensis Lour.,tamarisk,salt cedar,,,
TMJO,Tamarix jordanis,,,,,
TMXE,Tasmannia xerophila M.Gray,,,,,
TOCA,Torreya californica Torrey,California nutmeg,,,,
TPGU,Tapirira guianensis,,,,,
TRCO,Tristania conferta R.Br.,Queensland box tree,,,,
TRSC,Triplochiton schleroxylon,,,,,
TSCA,Tsuga canadensis (L.) Carr.,eastern hemlock,,,,
TSCH,Tsuga chinensis (Franch.) Pritz.,Chinese hemlock,,,,
TSCR,Tsuga caroliniana Engelm.,Carolina hemlock,,,,
TSDI,Tsuga diversifolia (Maxim.) Mast.,Japanese hemlock,,,,
TSDU,Tsuga dumosa (D. Don) Eichler,East Himalayan hemlock,,,,
TSHE,Tsuga heterophylla (Raf.) Sarg.,western hemlock,,,,
TSME,Tsuga mertensiana (Bong.) Carrière,mountain hemlock,,,,
TSSI,Tsuga sieboldii Carr.,southern japanese hemlock,,,,
TSSP,Tsuga spp. (Endl.) Carr.,hemlock,,,,
ULCA,Ulmus caprinifolia G. Suckow = Ulmus minor Mill.,,,,,
ULGL,Ulmus glabra Hudson,Wych elm,Scots elm,mountain elm,,
ULLA,Ulmus laevis Pall.,European white elm,,,,
ULMI,Ulmus minor Mill.,smooth-leaved elm,field elm,common elm,,
ULPU,Ulmus pumila L.,Siberian elm,,,,
ULRU,Ulmus rubra Muhl.,slippery elm,,,,
ULSP,Ulmus spp. L.,elm,,,,
UNKN,Unknown,,,,,
VBLA,Vibernum lantana L.,,,,,
VIKE,Vitex keniensis Turr,moru oak,moru,,,
VIME,Virola melinonii A.C. Smith,mountain yayamadou,montagne yayamadou,,,
VOAM,Vouacapoua americana Aubl.,wacapou,,,,
WERA,Weinmannia racemosa,,,,,
WETR,Weinmannia trichosperma Cav.,tineo,tenio,palo santo,,
WICE,Widdringtonia cedarbergensis J.A. Marsh,Clanwilliam cedar,,,,
ZISP,Zizyphus spina-christi,Judas tree,Christ thorn,,,
ZYDU,Zygophyllum dumosum Boiss.,,,,,
ZYSP,Zygophyllum spp. L.,,,,,
PIHR,Pinus hartwegii Lindl.,Mexican Mountain pine,,,,
PRMA,Previa maxima,,,,,
CHLA,Chamaecyparis lawsoniana (A. Murray bis) Parl.,Port Orford cedar,,,,
PLRA,Platanus racemosa Nutt.,California sycamore,,,,
ABDE,Abies densa Griff.,Sikkim fir,,,,
CUCH,Cupressus chengiana S.Y.Hu,min jiang bai mu,,,,
DRLO,Dracophyllum longifolium R.Br. ex Roem. & Schult.,Inaka,,,,
FOHO,Fokienia hodginsii,Fujian Cypress,,,,
PIAZ,Pinus arizonica Engelm.,Arizona pine,,,,
PIGR,Pinus greggii Engelm. ex Parl.,Gregg's pine,Ocote,,,
PICU,Pinus culminicola Andresen et Beaman,Potosi Pinyon,,,,
CEMC,Centrolobium microchaete (Benth.) H.C. Lima,Canary wood,,,,
ACMO,Acer mono Maxim.,maple,,,,
ACOP,Acer opalus Mill.,Italian maple,,,,
ACPS,Acer pseudoplatanus L.,sycamore maple,plane tree,,,
ACSH,Acer saccharum Marsh.,sugar maple,,,,
ADFA,Adenostoma fasciculatum,chamise,,,,
AEHI,Aesculus hippocastanum L.,horse chestnut,,,,
AGAU,Agathis australis (D. Don) Loudon,kauri pine,,,,
AGRO,Agathis robusta (C. Moore ex F. Muell) Bailey,kauri pine,,,,
ALHI,Alnus hirsuta (Spach.) Rupr.,,,,,
ALRG,Alnus rugosa (Du Roi) Spreng.,speckled alder,rough alder,,,
ALSP,Alnus spp. Mill.,alder,,,,
AMLU,Amomyrtus luma (Mol.) Legr. et Kaus.,luma,,,,
ANSP,Annona spraguei,,,,,
ARBI,Araucaria bidwilli Hook.,bunya pine,bunya,,,
ARHU,Araucaria hunsteinii,Klinki pine,,,,
CASA,Castanea sativa Mill.,sweet chestnut,European chestnut,,,
CDDE,Cedrus deodara (D. Don) G. Don,deodar cedar,Himalayan cedar,,,
CELI,Cedrela lilloi C. DC.,,,,,
CEOD,Cedrela odorata L.,,,,,
CHNO,Chamaecyparis nootkatensis (D. Don) Spach,Alaska yellow-cedar,Nootka cypress,,,
CIFR,Citharexylum fruticosum L.,Florida fiddlewood,,,,
CLRE,Celtis reticulata Torr.,netleaf hackberry,,,,
COAL,Corida alliodora (Ruiz. & Pav.) Cham.,,,,,
COCO,Copaifera coleosprema,,,,,
CONI,Various conifers,,,,,
COSP,Cornus spp. L.,dogwood,,,,
CRBE,Cercocarpus betuloides Nutt.,birchleaf mountain-mahogany,,,,
CTCO,Cotinus coggygria Scop.,European Smoketree,,,,
EUOR,Eucalyptus oreades R.T. Baker,Blue Mountains ash,,,,
EXCU,Exocarpus cuppressiforme Labill.,native cherry,,,,
FASP,Fagus spp. L.,beech,,,,
FICU,Fitzroya cupressoides (Molina) I.M. Johnst.,alerce,Patagonian cypress,,,
FRPE,Fraxinus pennsylvanica Marsh.,green ash,red ash,,,
GIBI,Gingko biloba L.,maidenhair tree,gingko,,,
GOLA,Gordonia lasianthus (L.) Ellis,loblolly-bay,,,,
HAKI,Halocarpus kirkii,manoao,,,,
HEAR,Heteromeles arbutifolia (Lindl.) M.J. Roem.,toyon,,,,
ILGL,Ilex glabra (L.) Gray,gallberry,inkberry,,,
JGAU,Juglans australis Griseb.,Argentine walnut,,,,
JUCH,Juniperus chinensis L.,Chinese juniper,,,,
JUDR,Juniperus drupacea Labill.,Syrian juniper,,,,
LGVU,Ligustrum vulgare L.,,,,,
LIPL,Libocedrus plumosa (D.Don) Sarg.,kawaka,plume incense cedar,,,
LOHI,Lomatia hitsuta (Lam.) Diel ex. Macbr.,radal,,,,
LSPA,Lagerstroemia parviflora Roxb.,lendia,,,,
MASY,Malus sylvestris L.,apple tree,,,,
MINI,Michelia nilagirica Zenk,,,,,
MORU,Morus rubra L.,red mulberry,,,,
NEAM,Nectandra amazonum,,,,,
NOBE,Nothofagus betuloides (Mirb.) Blume,coihue de Magallanes,guindo,,,
NOME,Nothofagus menziesii (Hook. f.) Oerst.,silver beech,Menzies's red beech,,,
NTLO,Notelaea longifolia Vent.,large mock-olive,,,,
OSCA,Ostrya carpinifolia Scop.,hop hornbeam,,,,
PATO,Paulownia tomentosa (Thumb.) Steud.,empress tree,,,,
PICE,Pinus cembra L.,Swiss stone pine,Arolla pine,,,
PICN,Pinus canariensis Chr. Sm. ex DC,Canary Island pine,,,,
PIED,Pinus edulis Engelm.,pinyon,Colorado pinyon,,,
PIGE,Pinus gerardiana Wall. ex D. Don.,chilgoza pine,Gerard's pine,,,
ABVE,Abies vejarii,Vejar's fir,,,,
PIKE,Pinus kesiya Royle ex Gordon,Khasi pine,,,,
PILG,Pinus lagunae M.-F. Passini,laguna pinyon,,,,
PIME,Pinus mesogeensis Fieschi & Gaussen,cluster pine,,,,
PIMR,Pinus muricata D.Don,bishop pine,,,,
PIOC,Pinus occidentalis Swartz,West Indian pine,,,,
PIPI,Pinus pinaster Aiton,maritime pine,cluster pine,,,
PIPT,Pinus patula Schiede & Deppe,Mexican weeping pine,,,,
PIRE,Pinus resinosa Aiton,red pine,,,,
PPAL,Populus alba L.,white poplar,,,,
PPEU,Populus euphratica,,,,,
PPGR,Populus grandidentata Michx.,bigtooth aspen,,,,
PPTC,Populus trichocarpa Torr. & Gray.,black cottonwood,,,,
PRMX,Premna maxima T.C.E. Fries,muchichio,,,,
PSGR,Pisonia grandis,,,,,
PSME,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir,,,,
PTAN,Pterocarpus angolensis DC.,,,,,
PTRH,Pterocarya rhoifolia Sieb. & Zucc.,Japanese wing nut,,,,
PUTR,Purshia tridentata (Pursh) DC.,bitter brush,,,,
QUBI,Quercus bicolor Willd.,swamp white oak,,,,
QUCE,Quercus cerris L.,Turkey oak,Austrian oak,,,
QUCO,Quercus coccinea Muenchh.,scarlet oak,,,,
QUDG,Quercus douglasii Hook. and Arn.,blue oak,,,,
QUEN,Quercus engelmannii Greene,Engelmann oak,,,,
QUGA,Quercus gambelii Nutt.,Gambel oak,,,,
SAAR,Salix arbusculoides Anderss.,littletree willow,,,,
SACN,Salix candida Fluegge,sage-leaf willow,silver willow,,,
SAEX,Salix exigua Nutt.,sandbar willow,,,,
SALS,Salix lasiolepis Benth.,arroyo willow,white willow,,,
SAPU,Salix purpurea,,,,,
SAVI,Salix viminalis,,,,,
SBSA,Sabina saltuaria,,,,,
SCMI,Schleronema micranthum Ducke.,,,,,
SESE,Sequoia sempervirens (D. Don) Endl.,coast redwood,,,,
SOAM,Sorbus americana Marsh.,mountain ash,,,,
SOTE,Sorbus torminalis (L.) Crantz,chequer tree,wild service tree,,,
SWMC,Swietenia macrophylla King,,,,,
TACU,Taxus cuspidata Sieb. et Zucc.,Japanese yew,,,,
TEBR,Terminalia brownii,,,,,
TETO,Terminalia tomentosa W. & A.,Indian laurel,taukkyan,sain,,
SAPC,Salix pulchra Cham.,Tealeaf Willow,diamondleaf willow,thin red willow,,
PCSN,Picea spinulosa (Griff.) Beissn. ,Sikkim spruce,xi ma la ya yun shan,,,
ASTO,Aspidosperma tomentosum Mart.,Jichituriqui amarillo,,,,
PPCI,Populus ciliata Wall. ex Royle,Himalayan poplar,,,,
ULWA,Ulmus wallichiana Planch.,Himalayan elm,,,,
QUBN,Quercus boyntonii Beadle,Boynton's sand post oak,Boynton's oak,,,
PITE,Pinus teocote Cham. & Schltdl.,Aztec pine,Mexican smallcone pine,Twisted-leaved,Teocote pine,
PIDU,Pinus durangensis Martínez,Durango pine,Ocote,Pino barbón,Pino blanco,
PILU,Pinus lumholtzii B.L.Rob. & Fernald,Lumholtz pine,Lumholtz's pine,Pino triste,,
PIPS,Pinus pseudostrobus Lindl.,False white pine,False Weymouth pine,Nicaraguan pine,Smoothbark pine,
PIDO,Pinus douglasiana Martínez,Douglas pine,Hayarin,Ocote lacio,Pino amarillo,
PIAY,Pinus ayacahuite Ehrenb. ex Schltdl.,Mexican white Pine,,,,
ABDU,Abies durangensis Martínez,Durango Fir,,,,
AVMA,Avicennia marina (Forssk.) Vierh.,gray mangrove,white mangrove,,,
TOCI,Toona ciliata,Australian red cedar,,,,
PIYU,Pinus yunnanensis Franch.,Yunnan Pine,,,,
ABBI,Abies bifolia A.Murray,Rocky Mountain alpine fir,,,,
HEHE,Hedera helix L.,English Ivy,European Ivy,,,
PPTM,Populus tremula L.,European aspen,quaking aspen,,,
PTLE,Pistacia lentiscus  L.,mastic tree,,,,
PITW,Pinus taiwanensis Hayata,Taiwan pine,,,,
